风机名,状态码,状态码描述,激活时间,复位时间
10,300116,变桨轴3后备电源欠电压,2021-11-20 11:25:07:016,2021-11-20 11:25:08:036
10,300116,变桨轴3后备电源欠电压,2021-11-20 11:25:04:256,2021-11-20 11:25:06:996
10,300114,变桨轴1后备电源欠电压,2021-11-20 11:25:04:256,2021-11-20 11:25:06:996
10,300115,变桨轴2后备电源欠电压,2021-11-20 11:25:04:256,2021-11-20 11:25:06:996
10,300115,变桨轴2后备电源欠电压,2021-11-20 11:25:03:276,2021-11-20 11:25:04:236
10,300114,变桨轴1后备电源欠电压,2021-11-20 11:25:03:276,2021-11-20 11:25:04:236
10,300116,变桨轴3后备电源欠电压,2021-11-20 11:25:03:276,2021-11-20 11:25:04:236
10,300965,变桨主电断路器断开,2021-11-20 11:25:00:157,2021-11-20 11:25:03:256
10,300959,变桨轴3制动接触器故障,2021-11-20 11:25:00:157,2021-11-20 11:25:00:176
10,300966,变桨系统熔断器故障,2021-11-20 11:25:00:157,2021-11-20 11:25:03:256
10,300906,变桨系统轴3电机未上电,2021-11-20 11:25:00:157,2021-11-20 11:25:00:176
10,300957,变桨轴1制动接触器故障,2021-11-20 11:25:00:157,2021-11-20 11:25:00:176
10,300969,变桨润滑24V电源故障,2021-11-20 11:25:00:157,2021-11-20 11:25:03:257
10,300970,变桨加热器总供电断路器断开,2021-11-20 11:25:00:157,2021-11-20 11:25:03:257
10,300958,变桨轴2制动接触器故障,2021-11-20 11:25:00:157,2021-11-20 11:25:00:176
10,300967,变桨400V防雷模块故障,2021-11-20 11:25:00:157,2021-11-20 11:25:03:256
10,300709,变桨安全链断开,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300631,变桨系统轴2的96°限位开关触发,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300114,变桨轴1后备电源欠电压,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300633,变桨系统轴3的96°限位开关触发,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300632,变桨系统轴2的96°限位开关触发,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300905,变桨系统轴2电机未上电,2021-11-20 11:25:00:156,2021-11-20 11:25:00:176
10,300102,变桨轴2后备电源主开关断开,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300115,变桨轴2后备电源欠电压,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300103,变桨轴3后备电源主开关断开,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300116,变桨轴3后备电源欠电压,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300904,变桨系统轴1电机未上电,2021-11-20 11:25:00:156,2021-11-20 11:25:00:176
10,300101,变桨轴1后备电源主开关断开,2021-11-20 11:25:00:156,2021-11-20 11:25:03:256
10,300957,变桨轴1制动接触器故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300906,变桨系统轴3电机未上电,2021-11-20 11:24:59:997,2021-11-20 11:25:00:136
10,300966,变桨系统熔断器故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300965,变桨主电断路器断开,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300959,变桨轴3制动接触器故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300969,变桨润滑24V电源故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300967,变桨400V防雷模块故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300970,变桨加热器总供电断路器断开,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300958,变桨轴2制动接触器故障,2021-11-20 11:24:59:997,2021-11-20 11:25:00:137
10,300905,变桨系统轴2电机未上电,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300633,变桨系统轴3的96°限位开关触发,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300116,变桨轴3后备电源欠电压,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300114,变桨轴1后备电源欠电压,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300631,变桨系统轴2的96°限位开关触发,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300101,变桨轴1后备电源主开关断开,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300709,变桨安全链断开,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300632,变桨系统轴2的96°限位开关触发,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300103,变桨轴3后备电源主开关断开,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300904,变桨系统轴1电机未上电,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300115,变桨轴2后备电源欠电压,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,300102,变桨轴2后备电源主开关断开,2021-11-20 11:24:59:996,2021-11-20 11:25:00:136
10,800011,风轮超速1紧停,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
10,800015,机舱振动开关动作,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:59:816,2021-11-20 11:24:59:836
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 11:24:59:816,2021-11-20 11:24:59:836
10,800070,安全系统紧停,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:59:816,2021-11-20 11:24:59:836
10,800003,机舱远程紧停开关触发,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
10,800017,偏航扭缆限位开关动作,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
10,800002,机舱紧停开关触发,2021-11-20 11:24:59:816,2021-11-20 11:25:00:137
